scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,180.0,0.9,1.1,3,5,3,69.8553,0.50171,0.158655,69.544337,70.166263,199.7268,0.148483,0.046954,199.63477,199.81883,0.73082,0.002897,0.000916,0.729024,0.732616,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,180.0,0.9,1.1,3,5,3,34.6725,0.105796,0.033456,34.606927,34.738073,67.7929,0.128245,0.040555,67.713413,67.872387,0.99776,0.000538,0.00017,0.997427,0.998093,0.00831,0.001997,0.000632,0.007072,0.009548,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,180.0,0.9,1.1,3,5,3,34.6738,0.106792,0.033771,34.607609,34.739991,67.7797,0.128963,0.040782,67.699768,67.859632,0.99775,0.000544,0.000172,0.997413,0.998087,0.00834,0.002016,0.000638,0.00709,0.00959,-0.0013
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,240.0,0.45,1.1,3,5,3,235.6627,0.998887,0.315876,235.043583,236.281817,263.5705,0.121941,0.038561,263.49492,263.64608,0.09121,0.00427,0.00135,0.088564,0.093856,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,240.0,0.45,1.1,3,5,3,179.9006,0.582153,0.184093,179.539778,180.261422,289.9238,0.123069,0.038918,289.847521,290.000079,0.46049,0.002537,0.000802,0.458917,0.462063,0.59315,0.002862,0.000905,0.591376,0.594924,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,240.0,0.45,1.1,3,5,3,179.8279,0.672153,0.212553,179.411296,180.244504,289.9282,0.124255,0.039293,289.851186,290.005214,0.46079,0.002866,0.000906,0.459014,0.462566,0.59301,0.00291,0.00092,0.591206,0.594814,0.0727
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,240.0,0.55,1.1,3,5,3,218.4094,0.699665,0.221253,217.975743,218.843057,263.3683,0.186252,0.058898,263.25286,263.48374,0.16497,0.002873,0.000908,0.163189,0.166751,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,240.0,0.55,1.1,3,5,3,132.7084,1.421705,0.449583,131.827218,133.589582,288.4646,0.085021,0.026886,288.411904,288.517296,0.66062,0.006189,0.001957,0.656784,0.664456,0.40679,0.007019,0.00222,0.40244,0.41114,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,240.0,0.55,1.1,3,5,3,132.7275,1.41091,0.446169,131.853009,133.601991,288.4851,0.096478,0.030509,288.425302,288.544898,0.66038,0.006063,0.001917,0.656622,0.664138,0.40752,0.006723,0.002126,0.403353,0.411687,-0.0191
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,240.0,0.65,1.1,3,5,3,193.1014,1.321369,0.417854,192.282407,193.920393,262.8918,0.111713,0.035327,262.82256,262.96104,0.27312,0.00564,0.001783,0.269625,0.276615,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,240.0,0.65,1.1,3,5,3,91.4403,0.926004,0.292828,90.866356,92.014244,286.1839,0.147497,0.046643,286.09248,286.27532,0.82767,0.004216,0.001333,0.825057,0.830283,0.23719,0.006317,0.001998,0.233275,0.241105,
